make,model,year,cylinders,displ,fuelType,VClass,mpg
141,614,1993,4.0,-0.7204528182018839,12,4,19
43,2235,1985,8.0,1.820168928172652,12,30,11
141,614,1993,4.0,-0.7204528182018839,12,4,20
141,620,1993,6.0,-0.2721078041357893,12,4,18
20,3867,1993,8.0,1.820168928172652,12,4,17
25,1267,1993,8.0,1.2970997450955415,12,4,18
25,1267,1993,8.0,1.820168928172652,12,4,17
25,3907,1993,4.0,-0.5710044801798522,12,8,20
25,3907,1993,4.0,-0.5710044801798522,12,8,22
25,3907,1993,6.0,-0.3468319731468051,12,8,19
25,3907,1993,6.0,0.7740305620184312,12,8,18
25,3907,1993,6.0,0.7740305620184312,12,8,18
43,4084,1985,4.0,-0.5710044801798522,12,30,20
92,4670,1993,4.0,-0.645728649190868,12,8,20
92,4670,1993,4.0,-0.645728649190868,12,8,22
92,4670,1993,6.0,-0.19738363512477344,12,8,18
32,3767,1993,4.0,-0.645728649190868,12,8,19
32,3767,1993,4.0,-0.645728649190868,12,8,19
43,4332,1993,4.0,-0.5710044801798522,12,8,20
43,4332,1993,4.0,-0.5710044801798522,12,8,22
43,4332,1993,6.0,-0.3468319731468051,12,8,19
43,4332,1993,6.0,0.7740305620184312,12,8,18
43,4332,1993,6.0,0.7740305620184312,8,8,18
43,4084,1985,4.0,-0.5710044801798522,12,30,21
43,4332,1993,6.0,0.7740305620184312,12,8,18
58,3397,1993,4.0,-0.7204528182018839,12,8,20
58,3397,1993,4.0,-0.4962803111688364,12,8,19
58,3397,1993,4.0,-0.4962803111688364,12,8,18
89,4670,1993,4.0,-0.645728649190868,12,8,19
89,4670,1993,4.0,-0.645728649190868,12,8,19
25,1063,1993,6.0,0.7740305620184312,12,22,17
25,1063,1993,6.0,0.7740305620184312,12,22,17
25,1063,1993,6.0,0.7740305620184312,12,22,16
25,1063,1993,6.0,0.7740305620184312,12,22,16
43,4084,1985,4.0,-0.5710044801798522,12,30,22
25,1063,1993,8.0,1.2970997450955415,12,22,15
25,1063,1993,8.0,1.2970997450955415,12,22,15
25,1063,1993,8.0,1.820168928172652,12,22,14
25,1063,1993,8.0,1.820168928172652,12,22,14
25,1063,1993,8.0,1.820168928172652,12,22,14
25,1063,1993,8.0,3.0904798013599204,12,22,10
25,3395,1993,6.0,0.7740305620184312,12,22,17
25,3395,1993,6.0,0.7740305620184312,12,22,16
25,3395,1993,6.0,0.7740305620184312,12,22,16
25,3395,1993,8.0,1.2970997450955415,12,22,14
43,4084,1985,6.0,0.7740305620184312,12,30,17
25,3395,1993,8.0,1.2970997450955415,12,22,15
25,3395,1993,8.0,1.820168928172652,12,22,14
25,3395,1993,8.0,1.820168928172652,12,22,14
25,3395,1993,8.0,1.820168928172652,12,22,13
32,1629,1993,4.0,-0.5710044801798522,12,22,22
32,1629,1993,6.0,0.47513388597436823,12,22,16
32,1629,1993,6.0,0.47513388597436823,12,22,16
32,1629,1993,8.0,1.4465480831175732,12,22,14
32,1600,1993,6.0,0.47513388597436823,12,22,15
32,1600,1993,6.0,0.47513388597436823,12,22,15
43,4084,1985,6.0,0.7740305620184312,12,30,16
32,1600,1993,6.0,0.47513388597436823,12,22,15
32,1600,1993,8.0,1.4465480831175732,12,22,13
32,1600,1993,8.0,1.4465480831175732,12,22,13
32,1600,1993,8.0,1.9696172661946836,12,22,13
32,1600,1993,8.0,1.9696172661946836,12,22,12
32,1602,1993,6.0,0.47513388597436823,12,22,14
32,1602,1993,6.0,0.47513388597436823,12,22,13
32,1602,1993,8.0,1.4465480831175732,12,22,13
32,1602,1993,8.0,1.4465480831175732,12,22,13
32,1602,1993,8.0,1.9696172661946836,12,22,13
43,4084,1985,6.0,0.7740305620184312,12,30,17
32,1602,1993,8.0,1.9696172661946836,12,22,12
62,1443,1993,4.0,-0.5710044801798522,12,22,19
62,1443,1993,4.0,-0.5710044801798522,12,22,18
62,1443,1993,6.0,0.5498580549853841,12,22,15
62,1443,1993,6.0,0.5498580549853841,12,22,16
42,2066,1993,6.0,1.222375576084526,12,22,15
